stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean
slow_pretrain,20,10080,-17525.254506225014,-3680.997305880895,-36.5109468879688,-1677.167227442357,-9.475447582471222,,-17414.01025428987,,,,,,10080,504,252,0,80,1.6858778613423816e-10,8.092196813589842e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5787192309896152,1.7320507764816284,0.0,0.0,0.014276258582256436,0.4878115801934186,3566.433884536658,2855.87108735763,4208.945398127289,0.0,0.0,0.0,0.0,0,0,10080,504,252,0,498,0,0,249,0,0,498,0,0,14400.000100000001,504.0001,0.0001,0.0,0.0,0.9788411582509676,0.0,0.9954287881652514,0.0,1.0213633204499881,0.0
slow_pretrain,21,10560,-15591.952574694582,-3592.9017879263047,-32.48323453061371,-1362.1296454327526,-9.097952812741632,,-17414.01025428987,,,,,,10560,528,264,0,89,1.685878292084881e-10,8.092197135458894e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5849775771299999,1.7320507764816284,0.0,0.0,0.014102079187937908,0.4854832020068624,3387.5891750794144,2828.450039474615,2550.387671941707,0.0,0.0,0.0,0.0,0,0,10560,528,264,0,546,0,0,273,0,0,546,0,0,14400.000100000001,528.0001,0.0001,0.0,0.0,0.9873698030908903,0.0,0.9965143476923307,0.0,1.0095242882768314,0.0
slow_pretrain,22,11040,-16768.198850563254,-3641.9919093515114,-34.93374760534013,-1611.08248585808,-10.304157629705518,,-17414.01025428987,,,,,,11040,552,276,0,81,1.6858766578027032e-10,8.092197119757965e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5783387248714764,1.7320507764816284,0.0,0.0,0.014350936365082686,0.48484563536578723,3510.8000346930367,2821.002392955543,3660.8343527148154,0.0,0.0,0.0,0.0,0,0,11040,552,276,0,594,0,0,297,0,0,594,0,0,14400.000100000001,552.0001,0.0001,0.0,0.0,0.9902343824505806,0.0,0.9972454383969307,0.0,0.9941104551156362,0.0
slow_pretrain,23,11520,-17297.935283665793,-3671.2846557383623,-36.03736517430372,-1580.981750565882,-9.81691024616262,,-17414.01025428987,,,,,,11520,576,288,0,87,1.685877026111062e-10,8.092194497703134e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.582077180345853,1.7320507764816284,0.0,0.0,0.014599815222900808,0.4854253030275082,3700.4496096587177,2827.7971644477507,3914.8292076434864,0.0,0.0,0.0,0.0,0,0,11520,576,288,0,642,0,0,321,0,0,642,0,0,14400.000100000001,576.0001,0.0001,0.0,0.0,0.9958333422740301,0.0,0.9978993187348048,0.0,0.9669381280740103,0.0
slow_pretrain,24,12000,-17509.115967058086,-3670.77357455086,-36.47732493137103,-1694.956310461336,-9.359065050174506,-17471.562873734176,-17414.01025428987,0.0,1.0,1.0,0.014400246287562852,0.48347447222991907,12000,600,300,0,75,1.6858756931848767e-10,8.092191600883066e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5700822447737057,1.7320507764816284,0.0,0.0,0.014454597804619341,0.4844464937949817,3616.995737775868,2816.323695184964,4271.546272243261,0.0,0.0,0.0,0.0,0,0,12000,600,300,0,690,0,0,345,0,0,690,0,0,14400.000100000001,600.0001,0.0001,0.0,0.0,0.9989583368102709,0.0,0.9983881364266077,0.0,0.9597468400994936,0.0
slow_pretrain,25,12480,-15985.164490082578,-3611.5022179834987,-33.302426021005395,-1305.8018737879997,-10.139357277651492,,-17414.01025428987,,,,,,12480,624,312,0,79,1.6858769669092737e-10,8.0921942661145e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.589178281525771,1.7320507764816284,0.0,0.0,0.01428875035043428,0.4854725531340514,3477.2654078401897,2828.3641423208232,2845.5534694583516,0.0,0.0,0.0,0.0,0,0,12480,624,312,0,738,0,0,369,0,0,738,0,0,14400.000100000001,624.0001,0.0001,0.0,0.0,0.9988932386040688,0.0,0.9986963098247846,0.0,0.9417485346396764,0.0
slow_pretrain,26,12960,-16139.940603791185,-3622.7160896749706,-33.62487625789833,-1194.7803660622121,-10.081221278413464,,-17414.01025428987,,,,,,12960,648,324,0,85,1.6858752348339637e-10,8.092191895275302e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5965784043073654,1.7320507764816284,0.0,0.0,0.014338384682498895,0.48517215254003293,3462.290647006821,2824.82389958254,3143.4061688356574,0.0,0.0,0.0,0.0,0,0,12960,648,324,0,786,0,0,393,0,0,786,0,0,14400.000100000001,648.0001,0.0001,0.0,0.0,0.9998697936534882,0.0,0.9989910597602526,0.0,0.9479643007119497,0.0
slow_pretrain,27,13440,-15984.784674473518,-3623.8045255761635,-33.30163473848644,-1441.11130059397,-10.242789388238004,,-17414.01025428987,,,,,,13440,672,336,0,81,1.6858767955145766e-10,8.092196986300064e-08,1.7561187365400243e-10,8.429369557916289e-08,0.0,0.0,1.5932465096314747,1.7320507764816284,0.0,0.0,0.014022782032974223,0.4852918496353541,3360.5057117314072,2826.231952680255,2876.412132387895,0.0,0.0,0.0,0.0,0,0,13440,672,336,0,834,0,0,417,0,0,834,0,0,14400.000100000001,672.0001,0.0001,0.0,0.0,1.0,0.0,0.999195841451486,0.0,0.9511567602554957,0.0
slow_pretrain,28,13920,-17615.89388581394,-3690.4987058202937,-36.699778928779075,-1613.3655569038845,-10.145851238964585,,-17414.01025428987,,,,,,13920,696,348,0,79,1.6858772840108183e-10,8.092199329662676e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5947841952244441,1.7320507764816284,0.0,0.0,0.01421257445608416,0.48702037063203385,3506.960835214662,2846.5049266849865,4319.551489119847,0.0,0.0,0.0,0.0,0,0,13920,696,348,0,882,0,0,441,0,0,882,0,0,14400.000100000001,696.0001,0.0001,0.0,0.0,1.0,0.0,0.9993577525019646,0.0,0.9257716884215673,0.0
slow_pretrain,29,14400,-16782.53873623655,-3654.916253911919,-34.96362236715949,-1331.0792267294394,-9.795115527473111,-17507.831350869423,-17414.01025428987,0.0,1.0,1.0,0.01440032998378434,0.4834610620628165,14400,720,360,0,79,1.685875957823046e-10,8.092194497703134e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5848052750031154,1.7320507764816284,0.0,0.0,0.014412801825298678,0.48579109726871045,3589.8734380017545,2832.0562395561305,3557.790507928567,0.0,0.0,0.0,0.0,0,0,14400,720,360,0,930,0,0,465,0,0,930,0,0,14400.000100000001,720.0001,0.0001,0.0,0.0,0.9998697936534882,0.0,0.999460019171238,0.0,0.9048074185848236,0.0
slow_pretrain,30,14880,-17244.19321402559,-3661.2501969499717,-35.925402529220015,-1692.716000288025,-10.762457328490905,,-17414.01025428987,,,,,,14880,744,372,0,81,1.6858765668903726e-10,8.092196837141236e-08,1.7561187735474586e-10,8.429369557916289e-08,0.0,0.0,1.5857780054211617,1.7320507764816284,0.0,0.0,0.014020430283035642,0.4863160466458832,3442.365506977211,2838.2118283459345,4168.625278292391,0.0,0.0,0.0,0.0,0,0,14880,744,372,0,978,0,0,489,0,0,978,0,0,14400.000100000001,744.0001,0.0001,0.0,0.0,1.0,0.0,0.9995659366250038,0.0,0.8886413971583048,0.0
